	BIOCHEMICAL	SUPER PATHWAY	Pathway	Feature	PLATFORM	CHEMICAL ID	RT	MZ	PUBCHEM	CAS	HMDB_ID	KEGG
38293	(12 or 13)-methylmyristate (a15:0 or i15:0)	Lipid	"Fatty Acid, Branched"	(12 or 13)-methylmyristate (a15:0 or i15:0)	LC/MS Neg	100002344	5499	241.2173	151014	2485-71-4		
38768	(14 or 15)-methylpalmitate (a17:0 or i17:0)	Lipid	"Fatty Acid, Branched"	(14 or 15)-methylpalmitate (a17:0 or i17:0)	LC/MS Neg	100002945	5695	269.2487				
38296	(16 or 17)-methylstearate (a19:0 or i19:0)	Lipid	"Fatty Acid, Branched"	(16 or 17)-methylstearate (a19:0 or i19:0)	LC/MS Neg	100002356	5993	297.2799	3083779	2724-59-6	HMDB37397	
63436	(2 or 3)-decenoate (10:1n7 or n8)	Lipid	Medium Chain Fatty Acid	(2 or 3)-decenoate (10:1n7 or n8)	LC/MS Neg	100021502	4990	169.1234				
57814	(N(1) + N(8))-acetylspermidine	Amino Acid	Polyamine Metabolism	(N(1) + N(8))-acetylspermidine	LC/MS Pos Early	100016038	3080	188.1757				
43264	(R)-3-hydroxybutyrylcarnitine	Lipid	"Fatty Acid Metabolism (Acyl Carnitine, Hydroxy)"	(R)-3-hydroxybutyrylcarnitine	LC/MS Pos Early	100003926	2400	248.1493	53481617		HMDB13127	
52984	(S)-3-hydroxybutyrylcarnitine	Lipid	"Fatty Acid Metabolism (Acyl Carnitine, Hydroxy)"	(S)-3-hydroxybutyrylcarnitine	LC/MS Pos Early	100009271	2340	248.1493				
63339	(S)-a-amino-omega-caprolactam	Xenobiotics	Food Component/Plant	(S)-a-amino-omega-caprolactam	LC/MS Pos Early	100021329	2378	129.1022	439823	21568-87-6		C05328
48762	"1,2,3-benzenetriol sulfate (2)"	Xenobiotics	Chemical	"1,2,3-benzenetriol sulfate (2)"	LC/MS Neg	100006374	1709	204.9812				
32391	"1,3-dimethylurate"	Xenobiotics	Xanthine Metabolism	"1,3-dimethylurate"	LC/MS Neg	100001106	1671.4	195.0524	70346	944-73-0	HMDB01857	
20675	"1,5-anhydroglucitol (1,5-AG)"	Carbohydrate	"Glycolysis, Gluconeogenesis, and Pyruvate Metabolism"	"1,5-anhydroglucitol (1,5-AG)"	LC/MS Neg	100000580	802	163.0612	64960	154-58-5	HMDB02712	C07326
34400	"1,7-dimethylurate"	Xenobiotics	Xanthine Metabolism	"1,7-dimethylurate"	LC/MS Neg	100001399	1578.6	195.0524	91611	33868-03-0	HMDB11103	C16356
46325	1-arachidonoyl-GPA (20:4)	Lipid	Lysophospholipid	1-arachidonoyl-GPA (20:4)	LC/MS Neg	100004442	5499	457.2361		799268-65-8		
